"","Meses","hn","cr","sv","gt","ni","pa","eua","mx","eur","chi","mes"
"1",1995-01-01,9.21,165.567096774194,8.73,5.72614,7.1471064516129,1,1,5.6405,0.805921914,8.4608,"ene. 95"
"2",1995-02-01,9.08,167.710714285714,8.72,5.70749,7.21286071428572,1,1,5.6779,0.794474273,8.4553,"feb. 95"
"3",1995-03-01,9.13,170.261935483871,8.72,5.68631,7.27923548387097,1,1,6.777,0.759265122,8.4483,"mar. 95"
"4",1995-04-01,9.12,172.853,8.72,5.72022,7.34849666666667,1,1,6.2285,0.745472003,8.4421,"abr. 95"
"5",1995-05-01,9.15,175.248709677419,8.72,5.72867,7.41841935483871,1,1,5.9741,0.756633978,8.337,"may. 95"
"6",1995-06-01,9.28,177.866,8.72,5.74684,7.48900333333333,1,1,6.233,0.75106595,8.3206,"jun. 95"
"7",1995-07-01,9.41,180.279677419355,8.72,5.75962,7.56025806451613,1,1,6.122,0.743596703,8.3207,"jul. 95"
"8",1995-08-01,9.55,182.662903225806,8.72,5.80171,7.63338064516129,1,1,6.2047,0.766629536,8.3253,"ago. 95"
"9",1995-09-01,9.67,185.270333333333,8.72,5.87913,7.70601333333333,1,1,6.3167,0.775914376,8.3374,"sep. 95"
"10",1995-10-01,9.81,187.891612903226,8.72,5.94587,7.77933870967742,1,1,6.7452,0.756331249,8.3353,"oct. 95"
"11",1995-11-01,10.04,190.654,8.72,5.98728,7.85335333333333,1,1,7.6936,0.755398265,8.3334,"nov. 95"
"12",1995-12-01,10.25,193.387741935484,8.72,5.92452,7.92808064516129,1,1,7.687,0.766692428,8.335,"dic. 95"
"13",1996-01-01,10.45,195.709032258065,8.72,6.0907,8.00475483870968,1,1,7.4806,0.774090869,8.3384,"ene. 96"
"14",1996-02-01,10.67,198.015517241379,8.72,6.15872,8.07966206896552,1,1,7.5183,0.776034201,8.3338,"feb. 96"
"15",1996-03-01,10.9,200.137741935484,8.72,6.17398,8.15527741935484,1,1,7.5682,0.780434811,8.3495,"mar. 96"
"16",1996-04-01,11.05,201.996,8.72,6.12782,8.23287333333334,1,1,7.4694,0.791198706,8.3515,"abr. 96"
"17",1996-05-01,11.18,204.011612903226,8.72,6.08057,8.31127419354839,1,1,7.4368,0.802130458,8.3479,"may. 96"
"18",1996-06-01,11.46,206.231333333333,8.72,6.12286,8.39028666666666,1,1,7.5648,0.798134281,8.3424,"jun. 96"
"19",1996-07-01,12,208.345483870968,8.72,6.08948,8.47012580645161,1,1,7.6179,0.787006213,8.3409,"jul. 96"
"20",1996-08-01,12.27,210.345161290323,8.72,6.06868,8.55204193548387,1,1,7.5143,0.779271989,8.3379,"ago. 96"
"21",1996-09-01,12.42,212.493666666667,8.72,6.04309,8.63341666666667,1,1,7.5441,0.78797984,8.3341,"sep. 96"
"22",1996-10-01,12.56,214.671290322581,8.72,6.05052,8.71555161290322,1,1,7.7345,0.794652939,8.3299,"oct. 96"
"23",1996-11-01,12.61,216.848666666667,8.72,6.00662,8.79849,1,1,7.9119,0.783146683,8.3294,"nov. 96"
"24",1996-12-01,12.78,219.012258064516,8.72,5.9947,8.8822,1,1,7.8769,0.799838753,8.329,"dic. 96"
"25",1997-01-01,12.93,220.875483870968,8.72,6.05304,8.96811290322581,1,1,7.8289,0.822229129,8.326,"ene. 97"
"26",1997-02-01,12.73,223.0125,8.72,6.09068,9.05062142857143,1,1,7.8023,0.857808762,8.3227,"feb. 97"
"27",1997-03-01,12.79,225.168709677419,8.72,5.99539,9.1339064516129,1,1,7.9562,0.869749756,8.3258,"mar. 97"
"28",1997-04-01,12.76,227.175666666667,8.72,5.99677,9.22082,1,1,7.9059,0.873351004,8.3257,"abr. 97"
"29",1997-05-01,13.05,229.275483870968,8.72,5.97565,9.30856451612903,1,1,7.9037,0.870063802,8.3229,"may. 97"
"30",1997-06-01,13.07,231.525,8.72,5.92258,9.39712,1,1,7.9498,0.879796098,8.3224,"jun. 97"
"31",1997-07-01,13.08,233.694838709677,8.72,5.95351,9.48653548387097,1,1,7.8679,0.905048633,8.3162,"jul. 97"
"32",1997-08-01,13.08,235.584193548387,8.72,6.07217,9.5782935483871,1,1,7.7818,0.932198413,8.3187,"ago. 97"
"33",1997-09-01,13.09,237.474666666667,8.72,6.10458,9.66942333333333,1,1,7.7809,0.909161162,8.3171,"sep. 97"
"34",1997-10-01,13.09,239.386451612903,8.72,6.1468,9.76143225806452,1,1,7.8708,0.892603707,8.3135,"oct. 97"
"35",1997-11-01,13.09,241.340333333333,8.72,6.21059,9.8543,1,1,8.2716,0.877679556,8.3109,"nov. 97"
"36",1997-12-01,13.1,243.255161290323,8.72,6.18186,9.94808064516129,1,1,8.1271,0.899619551,8.3099,"dic. 97"
"37",1998-01-01,13.11,244.892258064516,8.72,6.25174,10.0442870967742,1,1,8.2272,0.919350865,8.3094,"ene. 98"
"38",1998-02-01,13.16,246.838928571429,8.72,6.21013,10.1366964285714,1,1,8.5021,0.918741031,8.3072,"feb. 98"
"39",1998-03-01,13.21,248.882903225806,8.72,6.26765,10.2299806451613,1,1,8.5681,0.922228473,8.3076,"mar. 98"
"40",1998-04-01,13.21,250.932,8.72,6.28013,10.3273333333333,1,1,8.5017,0.916539039,8.3058,"abr. 98"
"41",1998-05-01,13.27,252.943225806452,8.72,6.27564,10.4255806451613,1,1,8.5848,0.901676668,8.3084,"may. 98"
"42",1998-06-01,13.32,255.277,8.72,6.30639,10.5247766666667,1,1,8.92,0.907930409,8.31,"jun. 98"
"43",1998-07-01,13.37,257.684193548387,8.72,6.34077,10.6249258064516,1,1,8.899,0.911161731,8.31,"jul. 98"
"44",1998-08-01,13.42,260.123225806452,8.72,6.3964,10.7276806451613,1,1,9.3712,0.907798534,8.31,"ago. 98"
"45",1998-09-01,13.51,262.495,8.72,6.48178,10.82976,1,1,10.2192,0.866457273,8.3055,"sep. 98"
"46",1998-10-01,13.57,264.925161290323,8.72,6.56218,10.9328,1,1,10.1594,0.837692826,8.2778,"oct. 98"
"47",1998-11-01,13.67,267.530666666667,8.72,6.55906,11.03682,1,1,9.9685,0.858794442,8.2778,"nov. 98"
"48",1998-12-01,13.75,270.080967741935,8.72,6.71953,11.1418419354839,1,1,9.9067,0.853153511,8.278,"dic. 98"
"49",1999-01-01,13.84,272.261290322581,8.72,6.97126,11.2495903225807,1,1,10.1279,0.861489688,8.2789,"ene. 99"
"50",1999-02-01,13.9,274.788571428571,8.72,6.87337,11.3531035714286,1,1,10.0057,0.892247706,8.2781,"feb. 99"
"51",1999-03-01,13.96,277.308064516129,8.72,6.96803,11.4575806451613,1,1,9.7324,0.918867661,8.2792,"mar. 99"
"52",1999-04-01,14.03,279.736666666667,8.72,7.0647,11.56658,1,1,9.4304,0.934194411,8.2792,"abr. 99"
"53",1999-05-01,14.09,282.307096774194,8.72,7.2619,11.6766548387097,1,1,9.3955,0.940901949,8.2785,"may. 99"
"54",1999-06-01,14.17,284.908666666667,8.72,7.35194,11.7877276666667,1,1,9.5146,0.96361858,8.278,"jun. 99"
"55",1999-07-01,14.22,287.326774193548,8.72,7.38059,11.8933,1,1,9.3699,0.965933459,8.2776,"jul. 99"
"56",1999-08-01,14.27,289.333225806452,8.72,7.66137,11.981964516129,1,1,9.3979,0.943080383,8.2772,"ago. 99"
"57",1999-09-01,14.35,291.233,8.72,7.77441,12.06856,1,1,9.3413,0.952311116,8.2774,"sep. 99"
"58",1999-10-01,14.39,293.118387096774,8.72,7.79699,12.1557774193548,1,1,9.5752,0.934026879,8.2775,"oct. 99"
"59",1999-11-01,14.44,295.049333333333,8.72,7.75743,12.2291133333333,1,1,9.4161,0.967283568,8.2782,"nov. 99"
"60",1999-12-01,14.49,297.022258064516,8.72,7.66364,12.2888064516129,1,1,9.4271,0.989105987,8.2794,"dic. 99"
"61",2000-01-01,14.54,298.736451612903,8.72,7.87332,12.3497709677419,1,1,9.4935,0.986490019,8.2792,"ene. 00"
"62",2000-02-01,14.61,300.414482758621,8.72,7.78135,12.4088034482759,1,1,9.4265,1.016855395,8.2781,"feb. 00"
"63",2000-03-01,14.65,302.143548387097,8.72,7.71708,12.4682151676958,1,1,9.2886,1.036975433,8.2786,"mar. 00"
"64",2000-04-01,14.7,303.751666666667,8.72,7.70609,12.5289133333333,1,1,9.3937,1.056021965,8.2793,"abr. 00"
"65",2000-05-01,14.76,305.268064516129,8.72,7.69516,12.5898935483871,1,1,9.5059,1.103791745,8.2781,"may. 00"
"66",2000-06-01,14.8,307.014333333333,8.72,7.724,12.6511733333333,1,1,9.8343,1.053544281,8.2772,"jun. 00"
"67",2000-07-01,14.85,308.728709677419,8.72,7.74189,12.7127483870968,1,1,9.4192,1.064218114,8.2794,"jul. 00"
"68",2000-08-01,14.91,310.344516129032,8.72,7.74016,12.7756483870968,1,1,9.2724,1.106124946,8.2796,"ago. 00"
"69",2000-09-01,14.98,311.990333333333,8.72,7.79254,12.8378333333333,1,1,9.3615,1.146639086,8.2785,"sep. 00"
"70",2000-10-01,15.03,313.667741935484,8.72,7.81044,12.9003225806452,1,1,9.537,1.169373181,8.2785,"oct. 00"
"71",2000-11-01,15.09,315.347666666667,8.72,7.7614,12.96312,1,1,9.5081,1.167697744,8.2774,"nov. 00"
"72",2000-12-01,15.13,317.080967741935,8.72,7.72292,13.0262193548387,1,1,9.4673,1.114434603,8.2771,"dic. 00"
"73",2001-01-01,15.15,318.627096774193,8.75,7.79306,13.0907516129032,1,1,9.7688,1.065777666,8.2776,"ene. 01"
"74",2001-02-01,15.2,320.289642857143,8.75,7.72851,13.15255,1,1,9.7108,1.084945834,8.2771,"feb. 01"
"75",2001-03-01,15.25,321.983870967742,8.75,7.69248,13.214635483871,1,1,9.599,1.099477418,8.2775,"mar. 01"
"76",2001-04-01,15.31,323.553333333333,8.75,7.73824,13.2791366666667,1,1,9.3276,1.121076233,8.2771,"abr. 01"
"77",2001-05-01,15.37,325.14935483871,8.75,7.76021,13.3439516129032,1,1,9.1475,1.143950105,8.277,"may. 01"
"78",2001-06-01,15.43,326.88,8.75,7.7891,13.4090883333333,1,1,9.0881,1.172103469,8.277,"jun. 01"
"79",2001-07-01,15.49,328.807096774193,8.75,7.79042,13.4745322580645,1,1,9.1682,1.161893608,8.2769,"jul. 01"
"80",2001-08-01,15.52,330.79935483871,8.75,7.8394,13.5413774193548,1,1,9.1332,1.110515135,8.277,"ago. 01"
"81",2001-09-01,15.59,332.922333333333,8.75,7.94337,13.60747,1,1,9.4253,1.097580384,8.2768,"sep. 01"
"82",2001-10-01,15.68,335.168709677419,8.75,8.09895,13.6738935483871,1,1,9.3391,1.10391725,8.2768,"oct. 01"
"83",2001-11-01,15.8,337.732333333333,8.75,8.07323,13.7406333333333,1,1,9.225,1.125734401,8.2769,"nov. 01"
"84",2001-12-01,15.88,340.313225806451,8.75,7.94645,13.8077161290323,1,1,9.1574,1.120608894,8.2764,"dic. 01"
"85",2002-01-01,15.97,342.670967741935,8.75,8.00503,13.8621,1,1,9.1636,1.132136137,8.2771,"ene. 02"
"86",2002-02-01,16.07,345.524285714286,8.75,7.92902,13.9149,1,1,9.105,1.149379048,8.2767,"feb. 02"
"87",2002-03-01,16.15,348.526774193548,8.75,7.90187,13.983,1,1,9.064,1.141813199,8.2773,"mar. 02"
"88",2002-04-01,16.23,351.335,8.75,7.81547,14.0527,1,1,9.1649,1.128868208,8.2772,"abr. 02"
"89",2002-05-01,16.31,354.385483870968,8.75,7.85872,14.1466,1,1,9.5099,1.090512541,8.277,"may. 02"
"90",2002-06-01,16.39,357.641,8.75,7.88929,14.2436,1,1,9.7671,1.046638198,8.2767,"jun. 02"
"91",2002-07-01,16.47,360.86,8.75,7.84418,14.2648,1,1,9.7792,1.007878587,8.2768,"jul. 02"
"92",2002-08-01,16.55,363.873548387097,8.75,7.75982,14.3295,1,1,9.8389,1.022746914,8.2767,"ago. 02"
"93",2002-09-01,16.64,367.056333333333,8.75,7.77145,14.4255,1,1,10.0708,1.019581054,8.277,"sep. 02"
"94",2002-10-01,16.73,370.277419354839,8.75,7.71726,14.4897,1,1,10.0941,1.01924,8.2772,"oct. 02"
"95",2002-11-01,16.8,373.576333333333,8.75,7.60066,14.551,1,1,10.1952,0.998204,8.2772,"nov. 02"
"96",2002-12-01,16.88,376.925806451613,8.75,7.6367,14.6049,1,1,10.2251,0.981194,8.2777,"dic. 02"
"97",2003-01-01,16.96,379.883225806452,8.75,7.78465,14.6928,1,1,10.6223,0.9416,8.2775,"ene. 03"
"98",2003-02-01,17.04,383.211428571428,8.75,7.81442,14.7624,1,1,10.9447,0.927264,8.278,"feb. 03"
"99",2003-03-01,17.11,386.594516129032,8.75,7.89245,14.8422,1,1,10.9053,0.926369,8.2773,"mar. 03"
"100",2003-04-01,17.18,389.828666666667,8.75,7.89457,14.9195,1,1,10.5887,0.920756,8.2772,"abr. 03"
"101",2003-05-01,17.23,392.926451612903,8.75,7.89054,14.9912,1,1,10.2528,0.865632,8.2769,"may. 03"
"102",2003-06-01,17.3,396.358333333333,8.75,7.90827,15.0721,1,1,10.5028,0.856689,8.2771,"jun. 03"
"103",2003-07-01,17.38,399.85935483871,8.75,7.90744,15.1853,1,1,10.4581,0.879984,8.2773,"jul. 03"
"104",2003-08-01,17.45,403.035161290323,8.75,7.91057,15.1651,1,1,10.783,0.896693,8.277,"ago. 03"
"105",2003-09-01,17.53,406.257333333333,8.75,7.97079,15.3093,1,1,10.9229,0.887894,8.2772,"sep. 03"
"106",2003-10-01,17.6,409.649677419355,8.75,8.0822,15.4447,1,1,11.1796,0.854156,8.2768,"oct. 03"
"107",2003-11-01,17.67,413.166,8.75,8.0664,15.4718,1,1,11.1494,0.855,8.2769,"nov. 03"
"108",2003-12-01,17.73,416.629677419355,8.75,8.01746,15.5284,1,1,11.2515,0.813343,8.277,"dic. 03"
"109",2004-01-01,17.78,419.309677419355,8.75,8.09869,15.6318,1,1,10.9203,0.791328,8.277,"ene. 04"
"110",2004-02-01,17.86,422.45,8.75,8.09348,15.6826,1,1,11.0319,0.791199,8.2771,"feb. 04"
"111",2004-03-01,17.94,425.666774193548,8.75,8.08826,15.7525,1,1,11.019,0.815652,8.2771,"mar. 04"
"112",2004-04-01,18.02,428.717666666667,8.75,8.03469,15.8154,1,1,11.2701,0.834161,8.2769,"abr. 04"
"113",2004-05-01,18.1,431.892258064516,8.75,7.97367,15.8906507150574,1,1,11.5199,0.833433,8.2771,"may. 04"
"114",2004-06-01,18.17,435.101,8.75,7.9268,15.9534,1,1,11.3926,0.823351,8.2767,"jun. 04"
"115",2004-07-01,18.24,438.359032258065,8.75,7.88227,15.9869589638737,1,1,11.4678,0.815356,8.2767,"jul. 04"
"116",2004-08-01,18.33,441.695161290323,8.75,7.89726,16.036180517189,1,1,11.3953,0.820331,8.2768,"ago. 04"
"117",2004-09-01,18.41,445.213666666667,8.75,7.88727,16.0515423719511,1,1,11.487,0.8181,8.2767,"sep. 04"
"118",2004-10-01,18.49,448.858387096774,8.75,7.81805,16.0844695555484,1,1,11.4037,0.799695,8.2765,"oct. 04"
"119",2004-11-01,18.54,452.441666666667,8.75,7.75895,16.1073680571393,1,1,11.371,0.769676,8.2765,"nov. 04"
"120",2004-12-01,18.59,456.041612903226,8.75,7.76585,16.1354774681716,1,1,11.2012,0.745974,8.2765,"dic. 04"
"121",2005-01-01,18.66,459.519677419355,8.75,7.75159,16.2872,1,1,11.2627,0.762113,8.2765,"ene. 05"
"122",2005-02-01,18.73,462.804642857143,8.75,7.70642,16.4573,1,1,11.1373,0.768564,8.2765,"feb. 05"
"123",2005-03-01,18.77,465.914193548387,8.75,7.60374,16.5247,1,1,11.1552,0.7585,8.2765,"mar. 05"
"124",2005-04-01,18.81,468.815333333333,8.75,7.59479,16.5694,1,1,11.1121,0.772678,8.2765,"abr. 05"
"125",2005-05-01,18.85,471.983870967742,8.75,7.58225,16.6574,1,1,10.9764,0.788075,8.2765,"may. 05"
"126",2005-06-01,18.86,475.28,8.75,7.60466,16.6816,1,1,10.8197,0.822727,8.2765,"jun. 05"
"127",2005-07-01,18.87,478.499677419355,8.75,7.58016,16.8089,1,1,10.6724,0.830835,8.2264,"jul. 05"
"128",2005-08-01,18.87,481.456774193548,8.75,7.5793,16.8875,1,1,10.6862,0.813361,8.1017,"ago. 05"
"129",2005-09-01,18.88,484.562,8.75,7.61243,16.9521,1,1,10.7858,0.816512,8.0919,"sep. 05"
"130",2005-10-01,18.89,487.719677419355,8.75,7.66584,17.0094,1,1,10.8354,0.831505,8.0895,"oct. 05"
"131",2005-11-01,18.9,490.914333333333,8.75,7.60081,17.0805,1,1,10.6715,0.848452,8.084,"nov. 05"
"132",2005-12-01,18.9,494.146774193548,8.75,7.60234,17.1058,1,1,10.6266,0.843167,8.0755,"dic. 05"
"133",2006-01-01,18.9,497.287096774194,8.75,7.61146,17.2182,1,1,10.5422,0.82627,8.0654,"ene. 06"
"134",2006-02-01,18.9,500.232142857143,8.75,7.59895,17.309,1,1,10.4842,0.837593,8.0512,"feb. 06"
"135",2006-03-01,18.9,502.987096774194,8.75,7.60908,17.3620987564245,1,1,10.7493,0.83141,8.035,"mar. 06"
"136",2006-04-01,18.9,505.561666666667,8.75,7.58411,17.4192,1,1,11.0489,0.814902,8.0143,"abr. 06"
"137",2006-05-01,18.9,507.630322580645,8.75,7.5749,17.4924,1,1,11.0908,0.783345,8.0131,"may. 06"
"138",2006-06-01,18.9,510.394333333333,8.75,7.60124,17.5909000355006,1,1,11.3934,0.789929,8.0042,"jun. 06"
"139",2006-07-01,18.9,513.26935483871,8.75,7.57412,17.6290686777342,1,1,10.983,0.788641,7.9897,"jul. 06"
"140",2006-08-01,18.9,515.882258064516,8.75,7.57383,17.7196,1,1,10.8735,0.780622,7.9722,"ago. 06"
"141",2006-09-01,18.9,518.498666666667,8.75,7.59764,17.748595450452,1,1,10.9888,0.785722,7.9334,"sep. 06"
"142",2006-10-01,18.9,518.018709677419,8.75,7.60496,17.8292,1,1,10.8854,0.792652,7.9018,"oct. 06"
"143",2006-11-01,18.9,514.762666666667,8.75,7.59913,17.9154618516247,1,1,10.9133,0.775936,7.8622,"nov. 06"
"144",2006-12-01,18.9,515.190967741935,8.75,7.59505,17.9846,1,1,10.8546,0.757527,7.8219,"dic. 06"
"145",2007-01-01,18.9,516.151935483871,8.75,7.66913,18.06,1,1,10.9559,0.769334,7.7876,"ene. 07"
"146",2007-02-01,18.9,517.1875,8.75,7.6863,18.1479,1,1,10.9951,0.764384,7.7502,"feb. 07"
"147",2007-03-01,18.9,516.915806451613,8.75,7.68327,18.1942534964155,1,1,11.1144,0.754985,7.7369,"mar. 07"
"148",2007-04-01,18.9,516.734,8.75,7.65258,18.2190065749851,1,1,10.9802,0.740076,7.7247,"abr. 07"
"149",2007-05-01,18.9,516.767741935484,8.75,7.63443,18.2588811257596,1,1,10.8221,0.739935,7.6773,"may. 07"
"150",2007-06-01,18.9,516.676333333333,8.75,7.66962,18.2928,1,1,10.833,0.745139,7.6333,"jun. 07"
"151",2007-07-01,18.9,516.595483870968,8.75,7.67015,18.3649,1,1,10.8146,0.728812,7.5757,"jul. 07"
"152",2007-08-01,18.9,516.575483870968,8.75,7.65421,18.5101,1,1,11.0438,0.733945,7.5734,"ago. 07"
"153",2007-09-01,18.9,516.366666666667,8.75,7.69024515062964,18.5948,1,1,11.0319,0.719036,7.521,"sep. 07"
"154",2007-10-01,18.9,516.582258064516,8.75,7.71088,18.7143,1,1,10.8214,0.702626,7.5019,"oct. 07"
"155",2007-11-01,18.9,511.291333333333,8.75,7.62987242825104,18.793,1,1,10.8811,0.681164,7.421,"nov. 07"
"156",2007-12-01,18.9,495.754838709677,8.75,7.61451931414721,18.8406,1,1,10.8463,0.687273,7.3682,"dic. 07"
"157",2008-01-01,18.9,494.608064516129,8.75,7.69500035321703,18.9028870997817,1,1,10.9057,0.67947,7.2405,"ene. 08"
"158",2008-02-01,18.9,493.508275862069,8.75,7.71384162873751,18.995517022689,1,1,10.7679,0.677845,7.1644,"feb. 08"
"159",2008-03-01,18.9,492.35935483871,8.75,7.62841806290537,19.0637886881466,1,1,10.7328,0.64443,7.0722,"mar. 08"
"160",2008-04-01,18.9,491.277,8.75,7.53041711420753,19.1248910604915,1,1,10.5146,0.634813,6.9997,"abr. 08"
"161",2008-05-01,18.91,507.554838709677,8.75,7.42408705006703,19.2138959730532,1,1,10.4381,0.642524,6.9725,"may. 08"
"162",2008-06-01,18.9,516.461666666667,8.75,7.48208338292843,19.3017215748422,1,1,10.3269,0.642637,6.8993,"jun. 08"
"163",2008-07-01,18.9,532.260322580645,8.75,7.43176525075348,19.3756,1,1,10.2094,0.634692,6.8355,"jul. 08"
